,Unnamed: 0,month,var8,var6,a.1,a.2,a.3,a.4,var5,b.5,b.7,b.8,b.9,b.12,b.15,b.16,b.17,b.18,b.19,b.22,c.29,c.30,var7,c.32,c.38,c.47,c.48,c.57,c.58,c.59,b.63,c.77,c.92,c.93,d.94,e.95,e.96,e.97,e.98,e.99,e.100,e.101,f.102,f.103,f.104,a.124,var3,var4,c.125,c.126,t7.158,c.159,c.160,c.161,c.162,c.163,c.164,c.165,c.166,c.167,c.168,c.169,c.170,c.171,c.172,t7.173,t7.174,t7.175,t7.176,t7.177,t7.178,t7.179,t7.180,t7.181,t7.182,a.186,var2,totshopping.rep,var1,c.187,f.188,c.189,var0,f.284,pov6
12,82,1,0.0,2.0,1,6,1,65,27,2,1,1.0,2,1,2,2,2.0,2.0,3,14,2,2,2,2,1,200.0,1.0,300.0,70.0,70.0,2,150.0,1.0,1,7,2,2,1,3,2,2,3.0,1,1,6,1.27,10259011.96,1.0,150.0,2,150.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,49.55,150.0,0.0,1,1,1,1.0,2,2.0,1
13,91,1,0.0,1.0,1,4,1,57,34,1,1,1.0,2,2,3,3,3.0,3.0,4,14,1,1,1,1,2,685.54,5.0,1000.0,0.0,0.0,2,300.0,5.0,1,6,1,1,2,3,2,2,2.0,2,2,1,2.56,6004575.0,5.0,300.0,2,60.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,26.7,60.0,0.0,1,1,3,1.0,2,4.0,1
14,92,1,0.0,1.0,1,8,1,57,34,1,1,4.0,1,2,2,2,2.0,2.0,3,14,1,1,1,2,1,320.0,4.0,107.0,0.0,0.0,2,0.0,0.0,0,5,1,3,2,2,2,2,2.0,1,2,6,2.56,6004575.0,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.7,0.0,0.0,2,2,2,1.0,1,5.0,1
15,96,1,2.0,0.0,1,12,1,57,34,1,1,1.0,2,2,7,7,7.0,7.0,8,14,2,2,2,2,1,6039.0,5.0,3000.0,500.0,500.0,2,0.0,0.0,0,6,2,2,1,1,1,1,2.0,1,2,1,7.04,6004575.0,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.7,0.0,0.0,1,2,1,1.0,3,5.0,1
16,97,1,2.0,0.0,1,4,1,57,34,2,3,0.0,1,2,0,0,0.5,0.5,1,102,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,2,30.0,1.0,2,6,4,4,4,4,4,4,0.0,1,1,8,7.04,6004575.0,1.0,30.0,2,30.0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,26.7,30.0,0.0,4,4,1,11.0,18,2.0,2
17,100,1,2.0,0.0,1,5,1,57,34,2,3,0.0,1,2,0,0,0.5,0.5,1,102,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,6,4,4,4,4,4,4,0.0,1,2,8,7.04,6004575.0,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.7,0.0,0.0,4,4,1,11.0,18,2.0,2
18,103,1,1.0,0.0,1,7,1,94,11,2,1,1.0,1,1,42,42,42.0,42.0,12,21,2,2,2,2,1,6000.0,2.0,600.0,300.0,300.0,2,167.0,2.0,2,6,2,2,1,2,2,1,2.0,1,2,8,4.27,655355.81,2.0,167.0,2,83.5,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,66.43,83.5,0.0,1,2,1,4.0,11,2.0,1
19,105,1,2.0,0.0,1,9,1,65,27,2,1,1.0,2,2,4,4,4.0,4.0,5,14,2,2,2,2,1,1000.0,2.0,500.0,160.0,160.0,2,1000.0,2.0,2,7,2,2,2,2,2,2,2.0,1,2,2,2.69,10259011.96,2.0,1000.0,2,500.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,49.55,500.0,0.0,1,2,1,1.0,2,5.0,1
20,109,1,2.0,0.0,1,2,1,65,27,1,1,1.0,2,2,4,4,4.0,4.0,5,14,2,2,2,2,2,1798.7,5.0,0.0,0.0,0.0,2,0.0,0.0,0,7,2,2,3,3,3,3,3.0,1,1,10,2.69,10259011.96,0.0,0.0,2,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49.55,0.0,0.0,1,2,1,0.0,4,0.0,1
21,110,1,2.0,0.0,1,3,1,65,27,2,1,1.0,2,2,4,4,4.0,4.0,5,31,2,2,2,2,2,0.0,0.0,70.0,35.0,35.0,2,70.0,1.0,2,6,3,2,2,3,3,2,2.0,2,1,3,2.69,10259011.96,1.0,70.0,2,70.0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,49.55,70.0,0.0,1,2,1,7.0,14,3.0,1
